date;sku;txt;umb;qty;
2024-01-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5404;
2024-01-03;17631;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2256;
2024-01-04;17632;Traucet acetaminofen 1g/ 100mL PP Foil;UN;960;
2024-01-10;17633;Traucet acetaminofen 1g/ 100mL PP Foil;UN;13056;
2024-01-11;17634;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11016;
2024-01-12;17635;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5016;
2024-01-15;17636;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6264;
2024-01-17;17637;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6456;
2024-01-18;17638;Traucet acetaminofen 1g/ 100mL PP Foil;UN;258;
2024-01-19;17639;Traucet acetaminofen 1g/ 100mL PP Foil;UN;816;
2024-01-22;17640;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11688;
2024-01-23;17641;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6336;
2024-01-24;17642;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11304;
2024-01-25;17643;Traucet acetaminofen 1g/ 100mL PP Foil;UN;30192;
2024-01-26;17644;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2258;
2024-01-29;17645;Traucet acetaminofen 1g/ 100mL PP Foil;UN;504;
2024-01-30;17646;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6528;
2024-02-01;17647;Traucet acetaminofen 1g/ 100mL PP Foil;UN;9117;
2024-02-02;17648;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1032;
2024-02-05;17649;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6936;
2024-02-06;17650;Traucet acetaminofen 1g/ 100mL PP Foil;UN;12239;
2024-02-07;17651;Traucet acetaminofen 1g/ 100mL PP Foil;UN;8832;
2024-02-08;17652;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1200;
2024-02-09;17653;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2136;
2024-02-12;17654;Traucet acetaminofen 1g/ 100mL PP Foil;UN;27216;
2024-02-13;17655;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1200;
2024-02-14;17656;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11136;
2024-02-15;17657;Traucet acetaminofen 1g/ 100mL PP Foil;UN;7392;
2024-02-16;17658;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2184;
2024-02-19;17659;Traucet acetaminofen 1g/ 100mL PP Foil;UN;493;
2024-02-20;17660;Traucet acetaminofen 1g/ 100mL PP Foil;UN;10152;
2024-02-21;17661;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5088;
2024-02-22;17662;Traucet acetaminofen 1g/ 100mL PP Foil;UN;17184;
2024-02-23;17663;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6575;
2024-02-26;17664;Traucet acetaminofen 1g/ 100mL PP Foil;UN;672;
2024-02-27;17665;Traucet acetaminofen 1g/ 100mL PP Foil;UN;360;
2024-02-28;17666;Traucet acetaminofen 1g/ 100mL PP Foil;UN;379;
2024-02-29;17667;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1080;
2024-03-01;17668;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4728;
2024-03-04;17669;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11328;
2024-03-05;17670;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1296;
2024-03-06;17671;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2688;
2024-03-07;17672;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4608;
2024-03-08;17673;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1464;
2024-03-11;17674;Traucet acetaminofen 1g/ 100mL PP Foil;UN;16632;
2024-03-12;17675;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2928;
2024-03-13;17676;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6816;
2024-03-14;17677;Traucet acetaminofen 1g/ 100mL PP Foil;UN;264;
2024-03-15;17678;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3504;
2024-03-18;17679;Traucet acetaminofen 1g/ 100mL PP Foil;UN;26640;
2024-03-19;17680;Traucet acetaminofen 1g/ 100mL PP Foil;UN;528;
2024-03-20;17681;Traucet acetaminofen 1g/ 100mL PP Foil;UN;16128;
2024-03-21;17682;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2638;
2024-03-26;17683;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11256;
2024-03-27;17684;Traucet acetaminofen 1g/ 100mL PP Foil;UN;288;
2024-04-01;17685;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3743;
2024-04-02;17686;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2256;
2024-04-03;17687;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11976;
2024-04-04;17688;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5544;
2024-04-05;17689;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5400;
2024-04-08;17690;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1560;
2024-04-09;17691;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3216;
2024-04-10;17692;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5162;
2024-04-11;17693;Traucet acetaminofen 1g/ 100mL PP Foil;UN;672;
2024-04-12;17694;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2712;
2024-04-15;17695;Traucet acetaminofen 1g/ 100mL PP Foil;UN;985;
2024-04-16;17696;Traucet acetaminofen 1g/ 100mL PP Foil;UN;574;
2024-04-17;17697;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2256;
2024-04-18;17698;Traucet acetaminofen 1g/ 100mL PP Foil;UN;840;
2024-04-19;17699;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3960;
2024-04-22;17700;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11952;
2024-04-23;17701;Traucet acetaminofen 1g/ 100mL PP Foil;UN;960;
2024-04-24;17702;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2520;
2024-04-25;17703;Traucet acetaminofen 1g/ 100mL PP Foil;UN;168;
2024-04-26;17704;Traucet acetaminofen 1g/ 100mL PP Foil;UN;192;
2024-04-29;17705;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11592;
2024-04-30;17706;Traucet acetaminofen 1g/ 100mL PP Foil;UN;456;
2024-05-01;17707;Traucet acetaminofen 1g/ 100mL PP Foil;UN;168;
2024-05-02;17708;Traucet acetaminofen 1g/ 100mL PP Foil;UN;8472;
2024-05-03;17709;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6928;
2024-05-06;17710;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5568;
2024-05-07;17711;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2496;
2024-05-08;17712;Traucet acetaminofen 1g/ 100mL PP Foil;UN;9648;
2024-05-09;17713;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4152;
2024-05-10;17714;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3960;
2024-05-14;17715;Traucet acetaminofen 1g/ 100mL PP Foil;UN;18408;
2024-05-15;17716;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5592;
2024-05-16;17717;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3887;
2024-05-17;17718;Traucet acetaminofen 1g/ 100mL PP Foil;UN;504;
2024-05-20;17719;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1368;
2024-05-21;17720;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6018;
2024-05-22;17721;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11712;
2024-05-23;17722;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2663;
2024-05-24;17723;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6024;
2024-05-27;17724;Traucet acetaminofen 1g/ 100mL PP Foil;UN;7368;
2024-05-28;17725;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1008;
2024-05-29;17726;Traucet acetaminofen 1g/ 100mL PP Foil;UN;9456;
2024-05-30;17727;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1224;
2024-05-31;17728;Traucet acetaminofen 1g/ 100mL PP Foil;UN;16944;
