Date;sku;name;umb;Cantidad
2016-07-29;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-120
2016-07-29;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2016-07-29;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2016-08-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;384
2016-08-22;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;120
2016-08-24;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;96
2016-08-30;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;144
2016-08-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-24
2016-08-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-24
2016-08-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;-48
2016-08-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2016-08-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2016-08-31;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2016-09-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2016-09-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2016-09-01;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;384
2016-09-02;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2016-09-05;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;240
2016-09-06;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
2016-09-09;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;168
2016-09-09;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2016-09-09;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;24
2016-09-09;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;48
2016-09-09;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;480
2016-09-09;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;480
2016-09-12;17630;Traucet acetaminofen 1g/ 100mL PP Foil;UN;72
